,principalC1,principalC2,principalC3,class
0,-0.25742184365563897,0.12201889495579277,-0.09987639693114604,+
1,1.336159832517889,-0.5171688816493835,-0.637640241922699,+
2,-0.6024345861853694,0.3391763021949945,-0.0249512098934151,+
3,0.36554911732803813,-0.019449178978475784,-0.005807311052824768,+
4,-0.41930420974681976,-0.5110257638895932,0.4083710757858205,+
5,-0.2639428055299132,0.8954286971423072,-0.7776421641137712,+
6,0.6516408759706572,3.4609998083421134,2.4503444517366857,+
7,-0.09317411384328164,-0.927327795254467,1.2115960395971226,+
10,-0.7137793150276784,-0.13763629747018155,-0.24365475982183282,+
11,-0.14128123502034678,0.39795474005983306,-0.6753143526825677,+
12,0.09774198451948496,-0.8950124828586247,-0.09411463072279037,+
13,-0.020121006128347753,-0.8546275840640228,-0.12017950381658278,+
14,1.6151843860402606,-0.7433134036230639,-0.020902153169450387,+
15,0.364173098839522,0.7084506247420923,-0.06007087505044062,+
17,0.7354592825791967,-0.4549388606119326,1.0661932654984358,+
18,-0.551171480170146,-0.6235428004867066,0.11376086753853844,+
20,1.3917154127584617,-0.07047939795286387,1.4948771208396472,+
21,-0.821840180806084,0.37549177150268376,-0.13114070361556576,+
23,0.7962660500816434,-0.6986822988139236,0.8119284233630412,+
25,-0.3300110999231318,-0.4723565189100048,0.8249020457050543,+
27,3.9521270015640786,-0.3509101772391794,-0.8996918203572589,+
28,1.7482269147267104,-0.6197700069931791,-1.0826457739005084,+
30,1.2058508646906807,-0.13059153371267554,0.4224969955544688,+
31,1.8717572061378145,-0.6519861339315731,-0.22868930757244302,+
33,0.4828253376422017,-0.30643854984590924,-0.014506149151099986,+
34,0.5321457739523233,-0.9919227344714517,1.4406056802373717,+
35,0.3331361906810245,1.377388793032136,-0.05334822871897941,+
37,0.2665916691917213,0.34660154714051733,0.770223180253934,+
38,-0.5297459462821271,0.3360503189945016,0.12137716711691532,+
39,2.9440621936881928,-0.029722361489947755,-1.4975478506813173,+
42,-0.20456794501204206,0.27843168958595077,-0.054853348002033425,+
43,1.8823033890969647,-0.3080650754286073,-0.2606123174085363,+
44,6.983645680583358,-0.35887212630154475,-0.5178162953255722,+
45,1.6853067974425169,-0.4629835864264368,-0.37762916312820105,+
46,1.164093792913699,1.4916794204298505,0.25553742543780483,+
47,0.6193594357958231,0.7492948751476479,-0.5163246617511645,+
48,-0.21967241381843894,0.12475697015065655,-1.1597485732610373,+
50,-0.7810860379076806,1.3860968218922305,-0.6208429721760305,+
51,-0.5696293971226443,0.564993015013712,-0.4332640912846942,+
52,-0.4374518511597228,1.6207717922131621,-0.22845991075552918,+
53,-0.4362215065903239,0.3437367771497402,-0.5007158403877795,+
54,0.5527535363024004,-0.3556195196577088,-0.9537445290718318,+
55,-0.22991044368323585,-0.3396909516197135,0.46147520130027536,+
57,0.16521500929265018,1.032877479716427,-1.7804484560455531,+
58,-0.3070591727849376,2.5130362242077133,-1.9268351118985252,+
62,-0.3242803472925542,-0.3293936497404855,0.4210135624938888,+
65,0.46023332837070213,6.691020082936545,4.932250115873611,+
66,0.7787021404601016,-0.7793160252426341,0.6128741166897843,+
67,-0.1542007280197142,1.8164502858927114,1.9790400099539842,+
69,1.1775244929588666,1.035443738647515,0.3315496260826591,+
70,-0.15810749722048043,1.0600085211688253,-0.7245385333692648,-
71,0.571513069958433,3.886759672389626,-2.872166084669789,-
73,-0.21158737635083946,-0.45723555386828196,-0.6775672229168996,-
75,-0.3769290582595308,1.0491203265738824,-0.5749943483749027,-
76,-0.9723986892927067,-0.17010543231490158,0.20029983591809714,-
77,-0.44638095022077584,-0.04266643493778798,0.18306964162081044,-
79,1.2408855017371874,-0.990310027938254,0.3255154737165342,-
80,-0.6258731837636631,0.6334559008690184,-0.4072624069052568,-
82,-0.6522527419319437,0.18134145497845208,-0.2694681651413728,-
84,-0.4578099489144656,-0.06434039754203982,-0.3407472324969575,-
85,-0.25807707207899216,0.2766034675307148,-0.4679624921778068,-
86,-0.02340313627681385,-0.29231630852790924,-0.8806909166223376,-
87,1.2047307303901382,-0.48214606490099504,-1.4368588658291999,-
88,0.30387453140067977,-0.8814139987701382,0.6559302938111472,-
89,0.7450939749367868,0.6634490788715012,-2.3731074747572167,-
90,-0.49025582149225255,-0.6690067630131091,-0.1368898479394505,-
91,-0.3730651531268495,-0.08288243442758449,-0.10830014662322433,-
92,-0.9780254656464819,-0.21350942855954644,0.09829535352615444,-
94,-0.13044365299292915,0.08247252388848002,0.21640912763487516,-
95,-0.4572845817111039,0.08533728027717427,-0.6802782961615214,-
98,0.5261908313856427,-0.3770185480493759,0.6556741740658155,-
101,-0.7104116013921926,0.30473440494527526,-0.32529781277030917,-
102,0.11532188890429679,-0.7501347537965967,0.3550757215628983,-
104,-0.1783742090029509,-0.1140029253721039,0.7083962859001905,-
105,0.18813220625625268,0.8884103633884768,-0.3607192957341851,-
106,-0.39170703789500827,-0.2414619375787507,0.4498225018972196,-
107,-0.0493372943213316,0.07096567278905867,0.3368724075848973,-
108,0.03369234073473237,0.3180652391226461,-0.22679396309188127,-
109,-0.29940652532361,0.050043593742707164,0.2679646725419628,-
110,-0.23167661257982236,-0.07611014552157251,0.4097599352736565,-
111,1.7241757911774893,1.0631977986075754,-1.2030061372794012,-
112,2.279744497342757,0.4948647887976772,0.9987510312158602,-
113,2.2501842866203523,1.6109102870127088,-2.2628443484288563,-
114,0.20895587469377408,-0.6255125311119307,1.0451024827900592,-
115,0.2009546772376999,-0.08729698064051564,0.028496020849056537,-
116,4.603304170200585,-0.024414414793598592,3.6586673646145904,-
