Date,Hourly production [kWh]
1/1/15 0:00,43.82
1/1/15 1:00,43.82
1/1/15 2:00,43.82
1/1/15 3:00,43.82
1/1/15 4:00,43.82
1/1/15 5:00,43.82
1/1/15 6:00,43.82
1/1/15 7:00,264.232
1/1/15 8:00,1214.002
1/1/15 9:00,2710.072
1/1/15 10:00,4068.876
1/1/15 11:00,4811.865
1/1/15 12:00,5123.79
1/1/15 13:00,4213.748
1/1/15 14:00,2324.147
1/1/15 15:00,615.672
1/1/15 16:00,47.419
1/1/15 17:00,43.82
1/1/15 18:00,43.82
1/1/15 19:00,43.82
1/1/15 20:00,43.82
1/1/15 21:00,43.82
1/1/15 22:00,43.82
1/1/15 23:00,43.82
1/2/15 0:00,43.82
1/2/15 1:00,43.82
1/2/15 2:00,43.82
1/2/15 3:00,43.82
1/2/15 4:00,43.82
1/2/15 5:00,43.82
1/2/15 6:00,43.852
1/2/15 7:00,263.897
1/2/15 8:00,1503.416
1/2/15 9:00,2761.838
1/2/15 10:00,3961.42
1/2/15 11:00,4544.146
1/2/15 12:00,4157.074
1/2/15 13:00,2810.3
1/2/15 14:00,1529.39
1/2/15 15:00,448.927
1/2/15 16:00,46.271
1/2/15 17:00,43.82
1/2/15 18:00,43.82
1/2/15 19:00,43.82
1/2/15 20:00,43.82
1/2/15 21:00,43.82
1/2/15 22:00,43.82
1/2/15 23:00,43.82
1/3/15 0:00,43.82
1/3/15 1:00,43.82
1/3/15 2:00,43.82
1/3/15 3:00,43.82
1/3/15 4:00,43.82
1/3/15 5:00,43.82
1/3/15 6:00,43.828
1/3/15 7:00,107.96
1/3/15 8:00,1255.477
1/3/15 9:00,2546.413
1/3/15 10:00,2829.565
1/3/15 11:00,3325.768
1/3/15 12:00,2869.696
1/3/15 13:00,2579.654
1/3/15 14:00,2095.368
1/3/15 15:00,688.851
1/3/15 16:00,52.327
1/3/15 17:00,43.82
1/3/15 18:00,43.82
1/3/15 19:00,43.82
1/3/15 20:00,43.82
1/3/15 21:00,43.82
1/3/15 22:00,43.82
1/3/15 23:00,43.82
1/4/15 0:00,43.82
1/4/15 1:00,43.82
1/4/15 2:00,43.82
1/4/15 3:00,43.82
1/4/15 4:00,43.82
1/4/15 5:00,43.82
