,Hourly production [kWh],DayOfWeek,Year,Month,Day,Weekend,PreviusDatLoad,Temp,Hour
0,43.82,3,2015,1,1,0,0.0,-10.2,0
1,43.82,3,2015,1,1,0,0.0,-8.6,1
2,43.82,3,2015,1,1,0,0.0,-8.6,2
3,43.82,3,2015,1,1,0,0.0,-8.6,3
4,43.82,3,2015,1,1,0,0.0,-10.6,4
5,43.82,3,2015,1,1,0,0.0,-10.6,5
6,43.82,3,2015,1,1,0,0.0,-10.6,6
7,264.232,3,2015,1,1,0,0.0,-11.5,7
8,1214.002,3,2015,1,1,0,0.0,-11.5,8
9,2710.072,3,2015,1,1,0,0.0,-11.5,9
10,4068.8759999999997,3,2015,1,1,0,0.0,-7.9,10
11,4811.865,3,2015,1,1,0,0.0,-7.9,11
12,5123.79,3,2015,1,1,0,0.0,-7.9,12
13,4213.748,3,2015,1,1,0,0.0,-4.2,13
14,2324.147,3,2015,1,1,0,0.0,-4.2,14
15,615.672,3,2015,1,1,0,0.0,-4.2,15
16,47.419,3,2015,1,1,0,0.0,-7.2,16
17,43.82,3,2015,1,1,0,0.0,-7.2,17
18,43.82,3,2015,1,1,0,0.0,-7.2,18
19,43.82,3,2015,1,1,0,0.0,-9.6,19
20,43.82,3,2015,1,1,0,0.0,-9.6,20
21,43.82,3,2015,1,1,0,0.0,-9.6,21
22,43.82,3,2015,1,1,0,0.0,-10.2,22
23,43.82,3,2015,1,1,0,0.0,-10.2,23
24,43.82,4,2015,1,2,0,1083.637625,-8.8,0
25,43.82,4,2015,1,2,0,1083.637625,-15.5,1
26,43.82,4,2015,1,2,0,1083.637625,-15.5,2
27,43.82,4,2015,1,2,0,1083.637625,-15.5,3
28,43.82,4,2015,1,2,0,1083.637625,-15.6,4
29,43.82,4,2015,1,2,0,1083.637625,-15.6,5
30,43.852,4,2015,1,2,0,1083.637625,-15.6,6
31,263.897,4,2015,1,2,0,1083.637625,-12.9,7
32,1503.4160000000002,4,2015,1,2,0,1083.637625,-12.9,8
33,2761.8379999999997,4,2015,1,2,0,1083.637625,-12.9,9
34,3961.42,4,2015,1,2,0,1083.637625,-7.0,10
35,4544.146,4,2015,1,2,0,1083.637625,-7.0,11
36,4157.0740000000005,4,2015,1,2,0,1083.637625,-7.0,12
37,2810.3,4,2015,1,2,0,1083.637625,-3.3,13
38,1529.39,4,2015,1,2,0,1083.637625,-3.3,14
39,448.92699999999996,4,2015,1,2,0,1083.637625,-3.3,15
40,46.271,4,2015,1,2,0,1083.637625,-4.3,16
41,43.82,4,2015,1,2,0,1083.637625,-4.3,17
42,43.82,4,2015,1,2,0,1083.637625,-4.3,18
43,43.82,4,2015,1,2,0,1083.637625,-8.9,19
44,43.82,4,2015,1,2,0,1083.637625,-8.9,20
45,43.82,4,2015,1,2,0,1083.637625,-8.9,21
46,43.82,4,2015,1,2,0,1083.637625,-8.8,22
47,43.82,4,2015,1,2,0,1083.637625,-8.8,23
48,43.82,5,2015,1,3,1,943.3412916666666,-4.1,0
49,43.82,5,2015,1,3,1,943.3412916666666,-8.1,1
50,43.82,5,2015,1,3,1,943.3412916666666,-8.1,2
51,43.82,5,2015,1,3,1,943.3412916666666,-8.1,3
52,43.82,5,2015,1,3,1,943.3412916666666,-6.3,4
53,43.82,5,2015,1,3,1,943.3412916666666,-6.3,5
54,43.828,5,2015,1,3,1,943.3412916666666,-6.3,6
55,107.96,5,2015,1,3,1,943.3412916666666,-4.6,7
56,1255.4769999999999,5,2015,1,3,1,943.3412916666666,-4.6,8
57,2546.413,5,2015,1,3,1,943.3412916666666,-4.6,9
58,2829.565,5,2015,1,3,1,943.3412916666666,-0.9,10
59,3325.768,5,2015,1,3,1,943.3412916666666,-0.9,11
60,2869.696,5,2015,1,3,1,943.3412916666666,-0.9,12
61,2579.654,5,2015,1,3,1,943.3412916666666,-1.4,13
62,2095.368,5,2015,1,3,1,943.3412916666666,-1.4,14
63,688.8510000000001,5,2015,1,3,1,943.3412916666666,-1.4,15
64,52.327,5,2015,1,3,1,943.3412916666666,0.6,16
65,43.82,5,2015,1,3,1,943.3412916666666,0.6,17
66,43.82,5,2015,1,3,1,943.3412916666666,0.6,18
67,43.82,5,2015,1,3,1,943.3412916666666,-3.8,19
68,43.82,5,2015,1,3,1,943.3412916666666,-3.8,20
69,43.82,5,2015,1,3,1,943.3412916666666,-3.8,21
70,43.82,5,2015,1,3,1,943.3412916666666,-4.1,22
71,43.82,5,2015,1,3,1,943.3412916666666,-4.1,23
72,43.82,6,2015,1,4,1,790.1902916666667,-0.1,0
73,43.82,6,2015,1,4,1,790.1902916666667,-4.3,1
74,43.82,6,2015,1,4,1,790.1902916666667,-4.3,2
75,43.82,6,2015,1,4,1,790.1902916666667,-4.3,3
76,43.82,6,2015,1,4,1,790.1902916666667,-2.9,4
77,43.82,6,2015,1,4,1,790.1902916666667,-2.9,5
78,43.82,6,2015,1,4,1,790.1902916666667,-2.9,6
79,343.033,6,2015,1,4,1,790.1902916666667,-5.2,7
80,1146.297,6,2015,1,4,1,790.1902916666667,-5.2,8
81,1678.451,6,2015,1,4,1,790.1902916666667,-5.2,9
82,2341.967,6,2015,1,4,1,790.1902916666667,-1.5,10
83,2680.883,6,2015,1,4,1,790.1902916666667,-1.5,11
84,2019.614,6,2015,1,4,1,790.1902916666667,-1.5,12
85,612.125,6,2015,1,4,1,790.1902916666667,3.0,13
86,415.165,6,2015,1,4,1,790.1902916666667,3.0,14
87,237.36599999999999,6,2015,1,4,1,790.1902916666667,3.0,15
88,46.00899999999999,6,2015,1,4,1,790.1902916666667,3.8,16
89,43.82,6,2015,1,4,1,790.1902916666667,3.8,17
90,43.82,6,2015,1,4,1,790.1902916666667,3.8,18
91,43.82,6,2015,1,4,1,790.1902916666667,3.7,19
92,43.82,6,2015,1,4,1,790.1902916666667,3.7,20
93,43.82,6,2015,1,4,1,790.1902916666667,3.7,21
94,43.82,6,2015,1,4,1,790.1902916666667,-0.1,22
95,43.82,6,2015,1,4,1,790.1902916666667,-0.1,23
96,43.82,0,2015,1,5,0,505.5995833333332,-4.5,0
97,43.82,0,2015,1,5,0,505.5995833333332,-0.1,1
98,43.82,0,2015,1,5,0,505.5995833333332,-0.1,2
99,43.82,0,2015,1,5,0,505.5995833333332,-0.1,3
100,43.82,0,2015,1,5,0,505.5995833333332,-1.6,4
101,43.82,0,2015,1,5,0,505.5995833333332,-1.6,5
102,43.9,0,2015,1,5,0,505.5995833333332,-1.6,6
103,343.48199999999997,0,2015,1,5,0,505.5995833333332,-2.8,7
104,1905.3410000000001,0,2015,1,5,0,505.5995833333332,-2.8,8
